Generated by "O:\BRS\Projects\bew\BEW457 - DSITIA Daily Rate Flood Modelling\E - Design Technical\E3 - Engineering\Hydraulics\Tuflow\Westwood\runs\WWD_10m_500yr_2Hr_012.tcf"

BC000001: ST BC based on SA region.  Tabular data from file "O:\BRS\Projects\bew\BEW457 - DSITIA Daily Rate Flood Modelling\E - Design Technical\E3 - Engineering\Hydraulics\Tuflow\Westwood\bc_dbase\500yr_2Hr.csv" and name "B" in database "O:\BRS\Projects\bew\BEW457 - DSITIA Daily Rate Flood Modelling\E - Design Technical\E3 - Engineering\Hydraulics\Tuflow\Westwood\bc_dbase\bc_dbase_012.csv"
"Point","Time (h)","Source Flow (m3/s)"
"#25","0. to 6.","0. to 240."
     1,       0.000,       0.000
     2,       0.250,      30.000
     3,       0.500,      60.000
     4,       0.750,      90.000
     5,       1.000,     120.000
     6,       1.250,     150.000
     7,       1.500,     180.000
     8,       1.750,     210.000
     9,       2.000,     240.000
    10,       2.250,     225.000
    11,       2.500,     210.000
    12,       2.750,     195.000
    13,       3.000,     180.000
    14,       3.250,     165.000
    15,       3.500,     150.000
    16,       3.750,     135.000
    17,       4.000,     120.000
    18,       4.250,     105.000
    19,       4.500,      90.000
    20,       4.750,      75.000
    21,       5.000,      60.000
    22,       5.250,      45.000
    23,       5.500,      30.000
    24,       5.750,      15.000
    25,       6.000,       0.000

BC000002: ST BC based on SA region.  Tabular data from file "O:\BRS\Projects\bew\BEW457 - DSITIA Daily Rate Flood Modelling\E - Design Technical\E3 - Engineering\Hydraulics\Tuflow\Westwood\bc_dbase\500yr_2Hr.csv" and name "A" in database "O:\BRS\Projects\bew\BEW457 - DSITIA Daily Rate Flood Modelling\E - Design Technical\E3 - Engineering\Hydraulics\Tuflow\Westwood\bc_dbase\bc_dbase_012.csv"
"Point","Time (h)","Source Flow (m3/s)"
"#25","0. to 6.","0. to 310."
     1,       0.000,       0.000
     2,       0.250,      38.750
     3,       0.500,      77.500
     4,       0.750,     116.250
     5,       1.000,     155.000
     6,       1.250,     193.750
     7,       1.500,     232.500
     8,       1.750,     271.250
     9,       2.000,     310.000
    10,       2.250,     290.625
    11,       2.500,     271.250
    12,       2.750,     251.875
    13,       3.000,     232.500
    14,       3.250,     213.125
    15,       3.500,     193.750
    16,       3.750,     174.375
    17,       4.000,     155.000
    18,       4.250,     135.625
    19,       4.500,     116.250
    20,       4.750,      96.875
    21,       5.000,      77.500
    22,       5.250,      58.125
    23,       5.500,      38.750
    24,       5.750,      19.375
    25,       6.000,       0.000

"BC000003: HQ BC Automatically generated using a water surface slope of 0.006"
"Point","Flow (m3/s)","Water Level (m)"
     1,           0.000,   141.055
     2,          12.910,   142.055
     3,          50.914,   143.055
     4,         153.401,   144.055
     5,         328.733,   145.055
     6,         685.481,   146.055
     7,        1259.721,   147.055
     8,        2009.208,   148.055
     9,        2912.519,   149.055
    10,        3956.489,   150.055
    11,        5131.716,   151.055
    12,        6430.968,   152.055
    13,        7848.419,   153.055
    14,        9379.220,   154.055
    15,       11019.247,   155.055
    16,       12764.920,   156.055
    17,       14613.097,   157.055
    18,       16560.979,   158.055
    19,       18606.053,   159.055
    20,       20746.044,   160.055
    21,       22978.877,   161.055
    22,       25302.648,   162.055
    23,       27715.603,   163.055
    24,       30216.113,   164.055
    25,       32802.665,   165.055
    26,       35473.846,   166.055
    27,       38228.330,   167.055
    28,       41064.872,   168.055
    29,       43982.297,   169.055
    30,       46979.498,   170.055
    31,       50055.422,   171.055
    32,       53209.072,   172.055
    33,       56439.501,   173.055
    34,       59745.804,   174.055
    35,       63127.119,   175.055
    36,       66582.621,   176.055
    37,       70111.521,   177.055
    38,       73713.061,   178.055
    39,       77386.516,   179.055
    40,       81131.188,   180.055
    41,       84946.403,   181.055
    42,       88831.517,   182.055
    43,       92785.903,   183.055
    44,       96808.961,   184.055
    45,      100900.107,   185.055
    46,      105058.781,   186.055
    47,      109284.437,   187.055
    48,      113576.547,   188.055
    49,      117934.602,   189.055
    50,      122358.105,   190.055
    51,      126846.575,   191.055
    52,      131399.545,   192.055
    53,      136016.562,   193.055
    54,      140697.182,   194.055
    55,      145440.978,   195.055
    56,      150247.530,   196.055
    57,      155116.432,   197.055
    58,      160047.286,   198.055
    59,      165039.706,   199.055
    60,      170093.314,   200.055
    61,      175207.741,   201.055
    62,      180382.628,   202.055
    63,      185617.623,   203.055
    64,      190912.383,   204.055
    65,      196266.574,   205.055
    66,      201679.865,   206.055
    67,      207151.937,   207.055
    68,      212682.475,   208.055
    69,      218271.171,   209.055
    70,      223917.725,   210.055
    71,      229621.841,   211.055
    72,      235383.231,   212.055
    73,      241201.611,   213.055
    74,      247076.702,   214.055
    75,      253008.233,   215.055
    76,      258995.936,   216.055
    77,      265039.550,   217.055
    78,      271138.815,   218.055
    79,      277293.480,   219.055
    80,      283503.296,   220.055
    81,      289768.019,   221.055
    82,      296087.410,   222.055
    83,      302461.233,   223.055
    84,      308889.257,   224.055
    85,      315371.253,   225.055
    86,      321906.999,   226.055
    87,      328496.274,   227.055
    88,      335138.861,   228.055
    89,      341834.547,   229.055
    90,      348583.123,   230.055
    91,      355384.381,   231.055
    92,      362238.120,   232.055
    93,      369144.137,   233.055
    94,      376102.238,   234.055
    95,      383112.226,   235.055
    96,      390173.910,   236.055
    97,      397287.103,   237.055
    98,      404451.618,   238.055
    99,      411667.272,   239.055
   100,      418933.884,   240.055
   101,      426251.277,   241.055
   102,      441037.703,   243.055
