"Time (h) ","Domain_001:","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","SS V In     ","SS V Out    ","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Q ME (%)    ","Total V     ","Cum V In+Out","Cum V Error ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  81.33333    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  81.33333    ,  81.33333    , 0.2766370E-11, 0.3401275E-11,  81.33333    ,  81.33333    , 0.2766370E-11, 0.3401275E-11, 0.3401275E-11
         0.033,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  241.3333    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  241.3333    ,  241.2146    ,-0.1187513    ,-0.4920634E-01,  322.5479    ,  322.6667    ,-0.1187513    ,-0.3680309E-01,-0.3680309E-01
         0.050,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  401.3333    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  401.3333    ,  401.2324    ,-0.1009365    ,-0.2515029E-01,  723.7803    ,  724.0000    ,-0.2196878    ,-0.3034362E-01,-0.3034362E-01
         0.067,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  561.3333    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  561.3333    ,  561.0108    ,-0.3225789    ,-0.5746655E-01,  1284.791    ,  1285.333    ,-0.5422667    ,-0.4218880E-01,-0.4218880E-01
         0.083,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  721.3333    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  721.3333    ,  720.2308    , -1.102524    ,-0.1528453    ,  2005.022    ,  2006.667    , -1.644791    ,-0.8196633E-01,-0.8196633E-01
         0.100,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  881.3333    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  881.3333    ,  880.6007    ,-0.7325901    ,-0.8312293E-01,  2885.623    ,  2888.000    , -2.377381    ,-0.8231929E-01,-0.8231929E-01
         0.117,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1041.333    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1041.333    ,  1040.210    , -1.123197    ,-0.1078614    ,  3925.833    ,  3929.333    , -3.500578    ,-0.8908834E-01,-0.8908834E-01
         0.133,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1201.333    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1201.333    ,  1200.263    , -1.070006    ,-0.8906824E-01,  5126.096    ,  5130.667    , -4.570584    ,-0.8908363E-01,-0.8908363E-01
         0.150,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1361.333    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1361.333    ,  1360.187    , -1.146304    ,-0.8420452E-01,  6486.283    ,  6492.000    , -5.716888    ,-0.8806051E-01,-0.8806051E-01
