"WWD_10m_100yr_2Hr_012","Location","Water Level"
"O:\BRS\Projects\bew\BEW457 - DSITIA Daily Rate Flood Modelling\E - Design Technical\E3 - Engineering\Hydraulics\Tuflow\Westwood\runs\WWD_10m_~e~_012.tcf","Time","cap_hwy"
"O:\BRS\Projects\bew\BEW457 - DSITIA Daily Rate Flood Modelling\E - Design Technical\E3 - Engineering\Hydraulics\Tuflow\Westwood\results\design\2d\WWD_10m_100yr_2Hr_012_PO.csv",        0.000000,        154.2215
,        0.016667,        154.2215
,        0.033333,        154.2215
,        0.050000,        154.2215
,        0.066667,        154.2215
,        0.083333,        154.2215
,        0.100000,        154.2215
,        0.116667,        154.2215
,        0.133333,        154.2215
,        0.150000,        154.2215
,        0.166667,        154.2215
,        0.183333,        154.2215
,        0.200000,        154.2215
,        0.216667,        154.2215
,        0.233333,        154.2215
,        0.250000,        154.2215
,        0.266667,        154.2215
,        0.283333,        154.2215
,        0.300000,        154.2215
,        0.316667,        154.2215
,        0.333333,        154.2215
,        0.350000,        154.2215
,        0.366667,        154.2215
,        0.383333,        154.2215
,        0.400000,        154.2215
,        0.416667,        154.2215
,        0.433333,        154.2215
,        0.450000,        154.2215
,        0.466667,        154.2215
,        0.483333,        154.2215
,        0.500000,        154.2215
,        0.516667,        154.2215
,        0.533333,        154.2215
,        0.550000,        154.2215
,        0.566667,        154.2215
,        0.583333,        154.4468
,        0.600000,        154.7827
,        0.616667,        154.8834
,        0.633333,        154.9681
,        0.650000,        155.0246
,        0.666667,        155.0696
,        0.683333,        155.1034
,        0.700000,        155.1325
,        0.716667,        155.1556
,        0.733333,        155.1781
,        0.750000,        155.1977
,        0.766667,        155.2152
,        0.783333,        155.2372
,        0.800000,        155.2619
,        0.816667,        155.2811
,        0.833333,        155.3032
,        0.850000,        155.3215
,        0.866667,        155.3398
,        0.883333,        155.3670
,        0.900000,        155.3878
,        0.916667,        155.4063
,        0.933333,        155.4302
,        0.950000,        155.4667
,        0.966667,        155.4851
,        0.983333,        155.5072
,        1.000000,        155.5240
,        1.016667,        155.5397
,        1.033333,        155.5537
,        1.050000,        155.5686
,        1.066667,        155.5835
,        1.083333,        155.5989
,        1.100000,        155.6131
,        1.116667,        155.6273
,        1.133333,        155.6411
,        1.150000,        155.6544
,        1.166667,        155.6671
,        1.183333,        155.6780
,        1.200000,        155.6897
,        1.216667,        155.7012
,        1.233333,        155.7128
,        1.250000,        155.7246
,        1.266667,        155.7363
,        1.283333,        155.7466
,        1.300000,        155.7571
,        1.316667,        155.7684
,        1.333333,        155.7795
,        1.350000,        155.7933
,        1.366667,        155.8075
,        1.383333,        155.8189
,        1.400000,        155.8297
,        1.416667,        155.8399
,        1.433333,        155.8501
,        1.450000,        155.8597
,        1.466667,        155.8705
,        1.483333,        155.8796
,        1.500000,        155.8938
,        1.516667,        155.9064
,        1.533333,        155.9156
,        1.550000,        155.9245
,        1.566667,        155.9332
,        1.583333,        155.9410
,        1.600000,        155.9487
,        1.616667,        155.9582
,        1.633333,        155.9655
,        1.650000,        155.9740
,        1.666667,        155.9840
,        1.683333,        155.9919
,        1.700000,        156.0001
,        1.716667,        156.0082
,        1.733333,        156.0163
,        1.750000,        156.0242
,        1.766667,        156.0320
,        1.783333,        156.0396
,        1.800000,        156.0472
,        1.816667,        156.0546
,        1.833333,        156.0622
,        1.850000,        156.0697
,        1.866667,        156.0772
,        1.883333,        156.0846
,        1.900000,        156.0919
,        1.916667,        156.0993
,        1.933333,        156.1067
,        1.950000,        156.1141
,        1.966667,        156.1193
,        1.983333,        156.1269
,        2.000000,        156.1341
,        2.016667,        156.1411
,        2.033333,        156.1482
,        2.050000,        156.1552
,        2.066667,        156.1626
,        2.083333,        156.1694
,        2.100000,        156.1764
,        2.116667,        156.1843
,        2.133333,        156.1904
,        2.150000,        156.1962
,        2.166667,        156.2028
,        2.183333,        156.2065
,        2.200000,        156.2124
,        2.216667,        156.2170
,        2.233333,        156.2189
,        2.250000,        156.2230
,        2.266667,        156.2262
,        2.283333,        156.2280
,        2.300000,        156.2297
,        2.316667,        156.2298
,        2.333333,        156.2289
,        2.350000,        156.2295
,        2.366667,        156.2306
,        2.383333,        156.2302
,        2.400000,        156.2286
,        2.416667,        156.2276
,        2.433333,        156.2269
,        2.450000,        156.2258
,        2.466667,        156.2226
,        2.483333,        156.2220
,        2.500000,        156.2210
,        2.516667,        156.2164
,        2.533333,        156.2160
,        2.550000,        156.2140
,        2.566667,        156.2117
,        2.583333,        156.2076
,        2.600000,        156.2043
,        2.616667,        156.2027
,        2.633333,        156.2009
,        2.650000,        156.1987
,        2.666667,        156.1943
,        2.683333,        156.1918
,        2.700000,        156.1883
,        2.716667,        156.1857
,        2.733333,        156.1819
,        2.750000,        156.1788
,        2.766667,        156.1772
,        2.783333,        156.1717
,        2.800000,        156.1682
,        2.816667,        156.1667
,        2.833333,        156.1613
,        2.850000,        156.1591
,        2.866667,        156.1543
,        2.883333,        156.1508
,        2.900000,        156.1486
,        2.916667,        156.1446
,        2.933333,        156.1400
,        2.950000,        156.1368
,        2.966667,        156.1340
,        2.983333,        156.1289
,        3.000000,        156.1252
,        3.016667,        156.1216
,        3.033333,        156.1183
,        3.050000,        156.1140
,        3.066667,        156.1102
,        3.083333,        156.1063
,        3.100000,        156.1024
,        3.116667,        156.0985
,        3.133333,        156.0946
,        3.150000,        156.0907
,        3.166667,        156.0867
,        3.183333,        156.0827
,        3.200000,        156.0789
,        3.216667,        156.0749
,        3.233333,        156.0710
,        3.250000,        156.0672
,        3.266667,        156.0633
,        3.283333,        156.0594
,        3.300000,        156.0555
,        3.316667,        156.0516
,        3.333333,        156.0477
,        3.350000,        156.0438
,        3.366667,        156.0399
,        3.383333,        156.0360
,        3.400000,        156.0321
,        3.416667,        156.0282
,        3.433333,        156.0241
,        3.450000,        156.0200
,        3.466667,        156.0160
,        3.483333,        156.0120
,        3.500000,        156.0081
,        3.516667,        156.0041
,        3.533333,        156.0001
,        3.550000,        155.9962
,        3.566667,        155.9923
,        3.583333,        155.9883
,        3.600000,        155.9844
,        3.616667,        155.9805
,        3.633333,        155.9766
,        3.650000,        155.9727
,        3.666667,        155.9689
,        3.683333,        155.9650
,        3.700000,        155.9611
,        3.716667,        155.9570
,        3.733333,        155.9531
,        3.750000,        155.9492
,        3.766667,        155.9454
,        3.783333,        155.9416
,        3.800000,        155.9378
,        3.816667,        155.9339
,        3.833333,        155.9300
,        3.850000,        155.9259
,        3.866667,        155.9211
,        3.883333,        155.9171
,        3.900000,        155.9130
,        3.916667,        155.9090
,        3.933333,        155.9051
,        3.950000,        155.9011
,        3.966667,        155.8970
,        3.983333,        155.8921
,        4.000000,        155.8880
,        4.016667,        155.8925
,        4.033333,        155.8888
,        4.050000,        155.8860
,        4.066667,        155.8833
,        4.083333,        155.8804
,        4.100000,        155.8775
,        4.116667,        155.8743
,        4.133333,        155.8716
,        4.150000,        155.8684
,        4.166667,        155.8650
,        4.183333,        155.8615
,        4.200000,        155.8585
,        4.216667,        155.8547
,        4.233333,        155.8508
,        4.250000,        155.8469
,        4.266667,        155.8428
,        4.283333,        155.8385
,        4.300000,        155.8341
,        4.316667,        155.8296
,        4.333333,        155.8236
,        4.350000,        155.8191
,        4.366667,        155.8140
,        4.383333,        155.8088
,        4.400000,        155.8036
,        4.416667,        155.7989
,        4.433333,        155.7937
,        4.450000,        155.7805
,        4.466667,        155.7734
,        4.483333,        155.7616
,        4.500000,        155.7534
,        4.516667,        155.7459
,        4.533333,        155.7380
,        4.550000,        155.7307
,        4.566667,        155.7235
,        4.583333,        155.7163
,        4.600000,        155.7091
,        4.616667,        155.7018
,        4.633333,        155.6944
,        4.650000,        155.6871
,        4.666667,        155.6798
,        4.683333,        155.6725
,        4.700000,        155.6652
,        4.716667,        155.6579
,        4.733333,        155.6424
,        4.750000,        155.6333
,        4.766667,        155.6249
,        4.783333,        155.6170
,        4.800000,        155.6093
,        4.816667,        155.6021
,        4.833333,        155.5950
,        4.850000,        155.5881
,        4.866667,        155.5819
,        4.883333,        155.5757
,        4.900000,        155.5693
,        4.916667,        155.5624
,        4.933333,        155.5553
,        4.950000,        155.5486
,        4.966667,        155.5418
,        4.983333,        155.5362
,        5.000000,        155.5297
,        5.016667,        155.5231
,        5.033333,        155.5163
,        5.050000,        155.5088
,        5.066667,        155.5016
,        5.083333,        155.4948
,        5.100000,        155.4883
,        5.116667,        155.4813
,        5.133333,        155.4733
,        5.150000,        155.4659
,        5.166667,        155.4585
,        5.183333,        155.4562
,        5.200000,        155.4536
,        5.216667,        155.4477
,        5.233333,        155.4411
,        5.250000,        155.4334
,        5.266667,        155.4255
,        5.283333,        155.4191
,        5.300000,        155.4115
,        5.316667,        155.4048
,        5.333333,        155.3872
,        5.350000,        155.3791
,        5.366667,        155.3709
,        5.383333,        155.3607
,        5.400000,        155.3498
,        5.416667,        155.3405
,        5.433333,        155.3313
,        5.450000,        155.3252
,        5.466667,        155.3156
,        5.483333,        155.3068
,        5.500000,        155.2986
,        5.516667,        155.2910
,        5.533333,        155.2830
,        5.550000,        155.2755
,        5.566667,        155.2685
,        5.583333,        155.2620
,        5.600000,        155.2525
,        5.616667,        155.2435
,        5.633333,        155.2343
,        5.650000,        155.2288
,        5.666667,        155.2126
,        5.683333,        155.2033
,        5.700000,        155.1945
,        5.716667,        155.1849
,        5.733333,        155.1753
,        5.750000,        155.1659
,        5.766667,        155.1568
,        5.783333,        155.1476
,        5.800000,        155.1386
,        5.816667,        155.1292
,        5.833333,        155.1197
,        5.850000,        155.1100
,        5.866667,        155.0980
,        5.883333,        155.0763
,        5.900000,        155.0627
,        5.916667,        155.0501
,        5.933333,        155.0382
,        5.950000,        155.0255
,        5.966667,        155.0135
,        5.983333,        155.0013
