"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,              ,  0.000000    ,  0.000000    ,  63.54167    ,  0.000000    ,  63.54167    ,  0.000000    ,  63.54167    ,  63.54167    , 0.1894307E-10, 0.2981204E-10,  63.54167    ,  63.54167    ,  63.54167    , 0.1894307E-10, 0.2981204E-10, 0.2981204E-10
         0.033,              ,  0.000000    ,  0.000000    ,  188.5417    ,  0.000000    ,  188.5417    ,  0.000000    ,  188.5417    ,  188.4762    ,-0.6542149E-01,-0.3469869E-01,  188.5417    ,  252.0179    ,  252.0833    ,-0.6542149E-01,-0.2595233E-01,-0.2595233E-01
         0.050,              ,  0.000000    ,  0.000000    ,  313.5417    ,  0.000000    ,  313.5417    ,  0.000000    ,  313.5417    ,  313.4343    ,-0.1073750    ,-0.3424584E-01,  313.5417    ,  565.4522    ,  565.6250    ,-0.1727965    ,-0.3054965E-01,-0.3054965E-01
         0.067,              ,  0.000000    ,  0.000000    ,  438.5417    ,  0.000000    ,  438.5417    ,  0.000000    ,  438.5417    ,  438.4660    ,-0.7569025E-01,-0.1725954E-01,  438.5417    ,  1003.918    ,  1004.167    ,-0.2484867    ,-0.2474556E-01,-0.2474556E-01
         0.083,              ,  0.000000    ,  0.000000    ,  563.5417    ,  0.000000    ,  563.5417    ,  0.000000    ,  563.5417    ,  562.9424    ,-0.5992263    ,-0.1063322    ,  563.5417    ,  1566.861    ,  1567.708    ,-0.8477130    ,-0.5407339E-01,-0.5407339E-01
         0.100,              ,  0.000000    ,  0.000000    ,  688.5417    ,  0.000000    ,  688.5417    ,  0.000000    ,  688.5417    ,  687.7740    ,-0.7677012    ,-0.1114967    ,  688.5417    ,  2254.635    ,  2256.250    , -1.615414    ,-0.7159731E-01,-0.7159731E-01
         0.117,              ,  0.000000    ,  0.000000    ,  813.5417    ,  0.000000    ,  813.5417    ,  0.000000    ,  813.5417    ,  813.0224    ,-0.5192956    ,-0.6383146E-01,  813.5417    ,  3067.657    ,  3069.792    , -2.134710    ,-0.6953924E-01,-0.6953924E-01
         0.133,              ,  0.000000    ,  0.000000    ,  938.5417    ,  0.000000    ,  938.5417    ,  0.000000    ,  938.5417    ,  937.5910    ,-0.9506521    ,-0.1012903    ,  938.5417    ,  4005.248    ,  4008.333    , -3.085362    ,-0.7697369E-01,-0.7697369E-01
         0.150,              ,  0.000000    ,  0.000000    ,  1063.542    ,  0.000000    ,  1063.542    ,  0.000000    ,  1063.542    ,  1062.737    ,-0.8044956    ,-0.7564307E-01,  1063.542    ,  5067.985    ,  5071.875    , -3.889857    ,-0.7669466E-01,-0.7669466E-01
         0.167,              ,  0.000000    ,  0.000000    ,  1188.542    ,  0.000000    ,  1188.542    ,  0.000000    ,  1188.542    ,  1187.666    ,-0.8756005    ,-0.7367016E-01,  1188.542    ,  6255.651    ,  6260.417    , -4.765458    ,-0.7612046E-01,-0.7612046E-01
         0.183,              ,  0.000000    ,  0.000000    ,  1313.542    ,  0.000000    ,  1313.542    ,  0.000000    ,  1313.542    ,  1311.741    , -1.800878    ,-0.1371009    ,  1313.542    ,  7567.392    ,  7573.958    , -6.566336    ,-0.8669622E-01,-0.8669622E-01
         0.200,              ,  0.000000    ,  0.000000    ,  1438.542    ,  0.000000    ,  1438.542    ,  0.000000    ,  1438.542    ,  1437.640    ,-0.9021362    ,-0.6271186E-01,  1438.542    ,  9005.032    ,  9012.500    , -7.468472    ,-0.8286793E-01,-0.8286793E-01
         0.217,              ,  0.000000    ,  0.000000    ,  1563.542    ,  0.000000    ,  1563.542    ,  0.000000    ,  1563.542    ,  1562.056    , -1.485457    ,-0.9500594E-01,  1563.542    ,  10567.09    ,  10576.04    , -8.953930    ,-0.8466239E-01,-0.8466239E-01
         0.233,              ,  0.000000    ,  0.000000    ,  1688.542    ,  0.000000    ,  1688.542    ,  0.000000    ,  1688.542    ,  1687.344    , -1.197739    ,-0.7093336E-01,  1688.542    ,  12254.43    ,  12264.58    , -10.15167    ,-0.8277223E-01,-0.8277223E-01
         0.250,              ,  0.000000    ,  0.000000    ,  1813.542    ,  0.000000    ,  1813.542    ,  0.000000    ,  1813.542    ,  1809.714    , -3.828059    ,-0.2110820    ,  1813.542    ,  14064.15    ,  14078.12    , -13.97973    ,-0.9930107E-01,-0.9930107E-01
         0.267,              ,  0.000000    ,  0.000000    ,  1938.542    ,  0.000000    ,  1938.542    ,  0.000000    ,  1938.542    ,  1934.717    , -3.825130    ,-0.1973200    ,  1938.542    ,  15998.86    ,  16016.67    , -17.80486    ,-0.1111646    ,-0.1111646    
         0.283,              ,  0.000000    ,  0.000000    ,  2063.542    ,  0.000000    ,  2063.542    ,  0.000000    ,  2063.542    ,  2059.619    , -3.922220    ,-0.1900723    ,  2063.542    ,  18058.48    ,  18080.21    , -21.72708    ,-0.1201705    ,-0.1201705    
         0.300,              ,  0.000000    ,  0.000000    ,  2188.542    ,  0.000000    ,  2188.542    ,  0.000000    ,  2188.542    ,  2184.878    , -3.663356    ,-0.1673880    ,  2188.542    ,  20243.36    ,  20268.75    , -25.39043    ,-0.1252689    ,-0.1252689    
         0.317,              ,  0.000000    ,  0.000000    ,  2313.542    ,  0.000000    ,  2313.542    ,  0.000000    ,  2313.542    ,  2306.557    , -6.984766    ,-0.3019080    ,  2313.542    ,  22549.92    ,  22582.29    , -32.37520    ,-0.1433654    ,-0.1433654    
         0.333,              ,  0.000000    ,  0.000000    ,  2438.542    ,  0.000000    ,  2438.542    ,  0.000000    ,  2438.542    ,  2434.110    , -4.431353    ,-0.1817215    ,  2438.542    ,  24984.03    ,  25020.83    , -36.80655    ,-0.1471036    ,-0.1471036    
         0.350,              ,  0.000000    ,  0.000000    ,  2563.542    ,  0.000000    ,  2563.542    ,  0.000000    ,  2563.542    ,  2552.862    , -10.68009    ,-0.4166146    ,  2563.542    ,  27536.89    ,  27584.38    , -47.48664    ,-0.1721505    ,-0.1721505    
         0.367,              ,  0.000000    ,  0.000000    ,  2688.542    ,  0.000000    ,  2688.542    ,  0.000000    ,  2688.542    ,  2682.254    , -6.287418    ,-0.2338598    ,  2688.542    ,  30219.14    ,  30272.92    , -53.77406    ,-0.1776309    ,-0.1776309    
         0.383,              ,  0.000000    ,  0.000000    ,  2813.542    ,  0.000000    ,  2813.542    ,  0.000000    ,  2813.542    ,  2809.132    , -4.409635    ,-0.1567290    ,  2813.542    ,  33028.27    ,  33086.46    , -58.18370    ,-0.1758535    ,-0.1758535    
         0.400,              ,  0.000000    ,  0.000000    ,  2938.542    ,  0.000000    ,  2938.542    ,  0.000000    ,  2938.542    ,  2931.811    , -6.731151    ,-0.2290643    ,  2938.542    ,  35960.09    ,  36025.00    , -64.91485    ,-0.1801939    ,-0.1801939    
         0.417,              ,  0.000000    ,  0.000000    ,  3063.542    ,  0.000000    ,  3063.542    ,  0.000000    ,  3063.542    ,  3047.984    , -15.55740    ,-0.5078239    ,  3063.542    ,  39008.07    ,  39088.54    , -80.47224    ,-0.2058717    ,-0.2058717    
         0.433,              ,  0.000000    ,  0.000000    ,  3188.542    ,  0.000000    ,  3188.542    ,  0.000000    ,  3188.542    ,  3180.868    , -7.673208    ,-0.2406494    ,  3188.542    ,  42188.94    ,  42277.08    , -88.14545    ,-0.2084946    ,-0.2084946    
         0.450,              ,  0.000000    ,  0.000000    ,  3313.542    ,  0.000000    ,  3313.542    ,  0.000000    ,  3313.542    ,  3304.219    , -9.322866    ,-0.2813565    ,  3313.542    ,  45493.16    ,  45590.62    , -97.46832    ,-0.2137903    ,-0.2137903    
         0.467,              ,  0.000000    ,  0.000000    ,  3438.542    ,  0.000000    ,  3438.542    ,  0.000000    ,  3438.542    ,  3432.061    , -6.481075    ,-0.1884832    ,  3438.542    ,  48925.22    ,  49029.17    , -103.9494    ,-0.2120154    ,-0.2120154    
         0.483,              ,  0.000000    ,  0.000000    ,  3563.542    ,  0.000000    ,  3563.542    ,  0.000000    ,  3563.542    ,  3552.703    , -10.83888    ,-0.3041603    ,  3563.542    ,  52477.92    ,  52592.71    , -114.7883    ,-0.2182589    ,-0.2182589    
         0.500,              ,  0.000000    ,  0.000000    ,  3688.542    ,  0.000000    ,  3688.542    ,  0.000000    ,  3688.542    ,  3677.767    , -10.77446    ,-0.2921063    ,  3688.542    ,  56155.69    ,  56281.25    , -125.5627    ,-0.2230987    ,-0.2230987    
         0.517,              ,  0.000000    ,  0.000000    ,  3813.542    ,  0.000000    ,  3813.542    ,  0.000000    ,  3813.542    ,  3799.691    , -13.85090    ,-0.3632032    ,  3813.542    ,  59955.38    ,  60094.79    , -139.4136    ,-0.2319896    ,-0.2319896    
         0.533,              ,  0.000000    ,  0.000000    ,  3938.542    ,  0.000000    ,  3938.542    ,  0.000000    ,  3938.542    ,  3929.468    , -9.074038    ,-0.2303908    ,  3938.542    ,  63884.85    ,  64033.33    , -148.4877    ,-0.2318912    ,-0.2318912    
